vendor,product_name,listed_price,currency,seller_style,category,matched_attributes,cost_floor,min_margin,sku_units,stock_age_days,lead_time_days,at_capacity,positioning,specialties,heritage,support_response_hours,alteration_weeks,shipping_days,lifetime_alterations,returns_window_days,restocking_fee_pct,returns_notes,source_url
Pronovias,Dion,2400,USD,Tough but fair,WeddingDress,color:ivory;size:US 8;silhouette:mermaid;fabric:crepe;neckline:sweetheart;designer:Pronovias,1730,500,2,14,30,false,luxury flagship,designer atelier;in-house master tailoring;detachable sleeves,Barcelona atelier and global bridal house,4,8,5,false,14,0,Unworn accessories store credit within 14 days; altered gowns final sale; earned credits are promotional and NOT refunded,https://www.pronovias.com/wedding-dress-mermaid-sweetheart-neckline-straps-crepe-dion
Maggie Sottero,Willow,2100,USD,Tough but fair,WeddingDress,color:ivory;size:US 8;silhouette:sheath;fabric:satin;neckline:V-neck;designer:Maggie Sottero,1512,420,3,20,28,false,designer bridal,fit engineering;detachable cap sleeves,Designer label known for fit and structure,8,6,6,false,10,10,Made-to-order gowns final sale; earned credits are promotional and NOT refunded,https://www.weddingshoppeinc.com/products/maggie-sottero-willow-wedding-dress
Watters,Garance 64307B,2250,USD,Tough but fair,WeddingDress,color:ivory;size:US 8;silhouette:sheath;fabric:satin;neckline:off-shoulder;designer:Watters,1620,470,2,25,35,false,designer bridal,pearl strap detailing;made to order,Austin-based designer bridal house,12,6,7,false,7,10,Made to order and final sale; earned credits are promotional and NOT refunded,https://www.watters.com/products/garance/
Justin Alexander,Style 88349,2300,USD,Tough but fair,WeddingDress,color:ivory;size:US 8;silhouette:fit-and-flare;fabric:mikado;neckline:square;designer:Justin Alexander,1656,480,3,18,30,false,designer bridal,mikado structure;detachable overskirt,Heritage designer house since 1947,8,7,6,false,10,5,Custom orders final sale; earned credits are promotional and NOT refunded,https://www.vaydajanebridal.com/wedding-dresses/justin-alexander/style-88349
Casablanca Bridal,2406 Evelina,2200,USD,Won't quote by phone,WeddingDress,color:ivory;size:US 8;silhouette:ball-gown;fabric:organza;neckline:sweetheart;designer:Casablanca Bridal,1430,400,6,60,45,true,appointment boutique,in-store styling;neckline customization,Boutique bridal with by-appointment fittings,24,8,10,false,0,0,In-store appointment required for pricing; final sale; earned credits are promotional and NOT refunded,https://www.glassslipperformals.com/products/casablanca-bridal-2406-evelina-off-the-shoulder-wedding-dress-ballgown-bridal-gown
Jenny Yoo,Jennifer 125100B,1950,USD,Won't quote by phone,WeddingDress,color:ivory;size:US 8;silhouette:fit-and-flare;fabric:satin;neckline:halter;designer:Jenny Yoo,1268,350,6,70,40,true,appointment boutique,made to order;scarf styling,Contemporary bridal and bridesmaid house,24,5,9,false,7,15,Pricing by appointment; standard returns minus restocking; earned credits are promotional and NOT refunded,https://www.jennyyoo.com/products/jennifer
Essense of Australia,D4225,2050,USD,Won't quote by phone,WeddingDress,color:ivory;size:US 8;silhouette:A-line;fabric:satin;neckline:square;designer:Essense of Australia,1333,369,8,55,42,true,appointment boutique,structured satin;in-store fittings,Global designer sold via authorized boutiques,24,7,10,false,0,0,Priced in-store only; final sale on custom sizing; earned credits are promotional and NOT refunded,https://www.essensedesigns.com/essense-of-australia/wedding-dresses/d4225/
Rebecca Ingram,Lauren 7RZ880,1900,USD,Won't quote by phone,WeddingDress,color:ivory;size:US 8;silhouette:fit-and-flare;fabric:lace;neckline:V-neck;designer:Rebecca Ingram,1235,340,7,65,38,true,value boutique,lace detailing;alteration-friendly sizing,Maggie Sottero value label,24,6,9,false,7,10,Book an appointment for a firm quote; earned credits are promotional and NOT refunded,https://thelastminutebride.com/products/rebecca-ingram-lauren-7rz880
Mori Lee,Meredith,1980,USD,Upseller,WeddingDress,color:ivory;size:US 8;silhouette:A-line;fabric:tulle;neckline:square;designer:Mori Lee,1089,238,18,240,21,false,volume DTC,embellishment add-ons;rush production,High-volume bridal manufacturer,24,4,8,false,7,15,Add-ons optional; standard returns minus restocking; earned credits are promotional and NOT refunded,https://silhouettebridals.com/products/meredith-wedding-dress
Allure Bridals,C747,1899,USD,Upseller,WeddingDress,color:ivory;size:US 8;silhouette:sheath;fabric:lace;neckline:sweetheart;designer:Allure Bridals,1044,228,20,260,24,false,volume DTC,couture lace;accessory bundles,Broad-catalog bridal house,24,4,8,false,7,15,Accessories sold as optional add-ons; earned credits are promotional and NOT refunded,https://www.terrycosta.com/products/allure-bridals-couture-lace-wedding-dress-c747
Stella York,7560,1950,USD,Upseller,WeddingDress,color:ivory;size:US 8;silhouette:A-line;fabric:lace;neckline:sweetheart;designer:Stella York,1073,234,16,220,20,false,volume DTC,beading upgrades;color change,Popular accessible-price bridal line,24,4,8,false,7,15,Optional beading and veil add-ons; earned credits are promotional and NOT refunded,https://www.essensedesigns.com/stella-york/wedding-dresses/7560/
Madi Lane,Landon ML25100,2050,USD,Upseller,WeddingDress,color:ivory;size:US 8;silhouette:A-line;fabric:tulle;neckline:V-neck;designer:Madi Lane,1128,246,22,300,28,false,volume DTC,detachable sleeves;fabrication upgrades,Trend-forward bridal label,24,5,9,false,7,15,Many optional upgrades; earned credits are promotional and NOT refunded,https://madilane.com/product/landon/
